,ctx_item_id,arima_orer,seasonal_order,aic,arima_order_p,arima_order_d,arima_order_q,seasonal_order_p,seasonal_order_d,seasonal_order_q,seasonal_order_m
890,HOUSEHOLD_1_204,"(0, 1, 3)","(0, 0, 0, 12)",481.9995029559349,0.0,1.0,3.0,0.0,0.0,0.0,12.0
891,HOUSEHOLD_1_235,"(4, 0, 0)","(2, 0, 1, 12)",526.3954549636617,4.0,0.0,0.0,2.0,0.0,1.0,12.0
892,HOUSEHOLD_1_279,"(2, 0, 0)","(0, 0, 0, 12)",515.8788389954202,2.0,0.0,0.0,0.0,0.0,0.0,12.0
893,HOUSEHOLD_1_291,"(2, 0, 0)","(0, 1, 0, 12)",315.45084486604634,2.0,0.0,0.0,0.0,1.0,0.0,12.0
894,HOUSEHOLD_1_298,"(0, 1, 0)","(0, 0, 0, 12)",391.90554838522377,0.0,1.0,0.0,0.0,0.0,0.0,12.0
895,HOUSEHOLD_1_316,"(2, 0, 2)","(0, 0, 1, 12)",426.88420060790713,2.0,0.0,2.0,0.0,0.0,1.0,12.0
896,HOUSEHOLD_1_328,"(0, 0, 1)","(0, 0, 0, 12)",175.40554127246077,0.0,0.0,1.0,0.0,0.0,0.0,12.0
897,HOUSEHOLD_1_330,"(0, 0, 0)","(0, 1, 0, 12)",74.30771108547971,0.0,0.0,0.0,0.0,1.0,0.0,12.0
898,HOUSEHOLD_1_381,"(0, 1, 0)","(0, 0, 0, 12)",449.3051729478836,0.0,1.0,0.0,0.0,0.0,0.0,12.0
899,HOUSEHOLD_1_413,"(1, 1, 3)","(1, 0, 0, 12)",390.94314713840197,1.0,1.0,3.0,1.0,0.0,0.0,12.0
900,HOUSEHOLD_1_457,"(1, 1, 0)","(0, 0, 0, 12)",211.4014650386223,1.0,1.0,0.0,0.0,0.0,0.0,12.0
901,HOUSEHOLD_1_461,"(0, 1, 2)","(0, 0, 0, 12)",447.2951512620679,0.0,1.0,2.0,0.0,0.0,0.0,12.0
902,HOUSEHOLD_1_515,"(1, 0, 2)","(0, 0, 0, 12)",379.872596973175,1.0,0.0,2.0,0.0,0.0,0.0,12.0
903,HOUSEHOLD_1_522,"(3, 1, 0)","(0, 0, 0, 12)",516.8091271766497,3.0,1.0,0.0,0.0,0.0,0.0,12.0
904,HOUSEHOLD_2_257,"(2, 0, 0)","(0, 0, 0, 12)",477.84184480914143,2.0,0.0,0.0,0.0,0.0,0.0,12.0
905,HOUSEHOLD_2_308,"(0, 1, 1)","(0, 0, 0, 12)",482.78818655125133,0.0,1.0,1.0,0.0,0.0,0.0,12.0
906,HOUSEHOLD_2_382,,,,,,,,,,
907,HOUSEHOLD_2_434,"(3, 0, 0)","(0, 0, 0, 12)",408.43269091698266,3.0,0.0,0.0,0.0,0.0,0.0,12.0
908,HOUSEHOLD_2_450,"(2, 0, 0)","(0, 0, 0, 12)",439.89526156607934,2.0,0.0,0.0,0.0,0.0,0.0,12.0
909,FOODS_1_006,"(1, 0, 2)","(0, 0, 0, 12)",483.81732869705996,1.0,0.0,2.0,0.0,0.0,0.0,12.0
910,FOODS_1_014,"(2, 0, 0)","(0, 0, 1, 12)",257.0180081049863,2.0,0.0,0.0,0.0,0.0,1.0,12.0
911,FOODS_1_031,"(2, 0, 3)","(0, 0, 0, 12)",458.233626701434,2.0,0.0,3.0,0.0,0.0,0.0,12.0
912,FOODS_1_068,"(2, 0, 0)","(0, 0, 0, 12)",257.6178738799498,2.0,0.0,0.0,0.0,0.0,0.0,12.0
913,FOODS_1_076,"(0, 1, 0)","(0, 0, 0, 12)",402.2807048706368,0.0,1.0,0.0,0.0,0.0,0.0,12.0
914,FOODS_1_102,"(1, 0, 2)","(0, 0, 0, 12)",443.87302408924836,1.0,0.0,2.0,0.0,0.0,0.0,12.0
915,FOODS_1_121,"(2, 0, 2)","(0, 0, 0, 12)",460.5327835676326,2.0,0.0,2.0,0.0,0.0,0.0,12.0
916,FOODS_1_125,"(1, 1, 0)","(0, 0, 0, 12)",163.3517625856493,1.0,1.0,0.0,0.0,0.0,0.0,12.0
917,FOODS_1_152,"(5, 0, 0)","(0, 0, 2, 12)",492.8459015217861,5.0,0.0,0.0,0.0,0.0,2.0,12.0
918,FOODS_1_155,"(1, 0, 0)","(0, 0, 1, 12)",267.56634600898855,1.0,0.0,0.0,0.0,0.0,1.0,12.0
919,FOODS_1_180,"(1, 0, 2)","(0, 1, 1, 12)",407.84712232438335,1.0,0.0,2.0,0.0,1.0,1.0,12.0
920,FOODS_2_025,"(2, 0, 0)","(0, 0, 1, 12)",433.27268461346756,2.0,0.0,0.0,0.0,0.0,1.0,12.0
921,FOODS_2_050,,,,,,,,,,
922,FOODS_2_062,"(2, 0, 0)","(1, 0, 1, 12)",449.97633302191406,2.0,0.0,0.0,1.0,0.0,1.0,12.0
